lastName,firstName,state,party,score2015,scoreLifetime,Limiting Access to the Courts (7),Attack on Clean Air Protections (9),Climate Change Science (12),Prioritizing Drilling on Public Lands (17),Forcing Tar Sands Polluters to Pay for Spills (19),International Climate Action (20),Liquefied Natural Gas (LNG) Exports (34),PrairieAnti-environment voteChicken Protections (35),National Monuments (37),Clean Energy Tax Credits (40),Fracking Drinking Water Loophole (41),Land & Water Conservation Fund (LWCF) (43),Renewable Electricity Standard (RES) (44),Keystone XL Tar Sands Pipeline (KXL) (49),Keystone XL Tar Sands Pipeline (KXL) Veto Override (68),Selling Off America's Public Lands (106),Responding to the Threat of Climate Change (115),Undermining Critical Habitat for Wildlife (128),InvestorAnti-environment voteState Dispute Settlement in Trade Agreements (188),Fast Track of Trade Agreements (193),Climate Change Science Education (238),Gutting Clean Water Protections (295),Extreme Assault on Clean Water Rule (CRA) (297),Extreme Attack on Carbon Pollution Limits for Existing Power Plants (CRA) (306),Extreme Attack on Carbon Pollution Limits for New Power Plants (CRA) (307)
Boxer ,Barbara,CA,Democrat,100,91,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote
Feinstein ,Dianne,CA,Democrat,88,89,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Missed vote,Anti-environment vote,Anti-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote
Schumer ,Chuck,NY,Democrat,100,91,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote
Gillibrand ,Kirsten,NY,Democrat,100,93,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote
Rubio ,Marco,FL,Republican,0,6,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Missed vote,Missed vote,Missed vote,Missed vote,Missed vote,Missed vote,Missed vote,Missed vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Missed vote,Missed vote,Missed vote
Nelson ,Bill,FL,Democrat,84,68,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Anti-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Anti-environment vote,Anti-environment vote,Missed vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote
Sessions ,Jeff,AL,Republican,4,7,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Pro-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote
Shelby ,Richard,AL,Republican,4,14,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Missed vote,Anti-environment vote,Pro-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote
Schatz ,Brian,HI,Democrat,96,93,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Missed vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote
Hirono ,Mazie,HI,Democrat,100,94,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote
